"LGD2014","LGD2014NAME","DZ2021","DZ2021_name","SDZ2021","SDZ2021_name"
"N09000003","Belfast","N20001350","Black_Mountain_R1","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001361","Black_Mountain_R2","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001360","Black_Mountain_P4","N21000313","Black_Mountain_P"
"N09000003","Belfast","N20001364","Black_Mountain_R3","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001368","Black_Mountain_R6","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001366","Black_Mountain_R4","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001240","Collin_C1","N21000288","Collin_C"
"N09000003","Belfast","N20001247","Collin_D3","N21000289","Collin_D"
"N09000003","Belfast","N20001245","Collin_A4","N21000286","Collin_A"
"N09000003","Belfast","N20001244","Collin_D2","N21000289","Collin_D"
"N09000003","Belfast","N20001367","Black_Mountain_R5","N21000315","Black_Mountain_R"
"N09000003","Belfast","N20001235","Collin_A1","N21000286","Collin_A"
"N09000003","Belfast","N20001238","Collin_A3","N21000286","Collin_A"
"N09000003","Belfast","N20001237","Collin_D1","N21000289","Collin_D"
"N09000003","Belfast","N20001362","Black_Mountain_Q2","N21000314","Black_Mountain_Q"
"N09000003","Belfast","N20001242","Collin_C2","N21000288","Collin_C"
"N09000003","Belfast","N20001356","Black_Mountain_Q1","N21000314","Black_Mountain_Q"
"N09000003","Belfast","N20001363","Black_Mountain_Q3","N21000314","Black_Mountain_Q"
"N09000003","Belfast","N20001365","Black_Mountain_P5","N21000313","Black_Mountain_P"
"N09000003","Belfast","N20001249","Collin_C3","N21000288","Collin_C"
"N09000003","Belfast","N20001254","Collin_F3","N21000291","Collin_F"
"N09000003","Belfast","N20001246","Collin_F1","N21000291","Collin_F"
"N09000003","Belfast","N20000855","Castle_Q3","N21000192","Castle_Q"
"N09000003","Belfast","N20001079","Botanic_A1","N21000251","Botanic_A"
"N09000003","Belfast","N20000786","Oldpark_U5","N21000178","Oldpark_U"
"N09000003","Belfast","N20001080","Botanic_A2","N21000251","Botanic_A"
"N09000003","Belfast","N20001418","Court_Q2","N21000329","Court_Q"
"N09000003","Belfast","N20001430","Court_Q4","N21000329","Court_Q"
"N09000003","Belfast","N20001433","Court_W2","N21000334","Court_W"
"N09000003","Belfast","N20001414","Court_Q1","N21000329","Court_Q"
"N09000003","Belfast","N20001429","Court_W1","N21000334","Court_W"
"N09000003","Belfast","N20001431","Court_S3","N21000331","Court_S"
"N09000003","Belfast","N20001444","Court_W4","N21000334","Court_W"
"N09000003","Belfast","N20001438","Court_W3","N21000334","Court_W"
"N09000003","Belfast","N20001440","Court_S6","N21000331","Court_S"
"N09000003","Belfast","N20001432","Court_S4","N21000331","Court_S"
"N09000003","Belfast","N20001084","Botanic_A3","N21000251","Botanic_A"
"N09000003","Belfast","N20001423","Court_Q3","N21000329","Court_Q"
"N09000003","Belfast","N20001437","Court_S5","N21000331","Court_S"
"N09000003","Belfast","N20001421","Court_S2","N21000331","Court_S"
"N09000003","Belfast","N20001426","Court_P4","N21000328","Court_P"
"N09000003","Belfast","N20001443","Court_X4","N21000335","Court_X"
"N09000003","Belfast","N20001095","Botanic_F2","N21000256","Botanic_F"
"N09000003","Belfast","N20001445","Court_X5","N21000335","Court_X"
"N09000003","Belfast","N20001089","Botanic_A5","N21000251","Botanic_A"
"N09000003","Belfast","N20001099","Botanic_H1","N21000258","Botanic_H"
"N09000003","Belfast","N20001087","Botanic_C1","N21000253","Botanic_C"
"N09000003","Belfast","N20001090","Botanic_C3","N21000253","Botanic_C"
"N09000003","Belfast","N20001093","Botanic_F1","N21000256","Botanic_F"
"N09000003","Belfast","N20001088","Botanic_C2","N21000253","Botanic_C"
"N09000003","Belfast","N20001108","Botanic_F5","N21000256","Botanic_F"
"N09000003","Belfast","N20001100","Botanic_F3","N21000256","Botanic_F"
"N09000003","Belfast","N20001102","Botanic_F4","N21000256","Botanic_F"
"N09000003","Belfast","N20001092","Botanic_E1","N21000255","Botanic_E"
"N09000003","Belfast","N20001098","Botanic_E3","N21000255","Botanic_E"
"N09000003","Belfast","N20001311","Black_Mountain_C2","N21000303","Black_Mountain_C"
"N09000003","Belfast","N20001315","Black_Mountain_C4","N21000303","Black_Mountain_C"
"N09000003","Belfast","N20001318","Black_Mountain_J1","N21000309","Black_Mountain_J"
"N09000003","Belfast","N20001149","Botanic_U2","N21000268","Botanic_U"
"N09000003","Belfast","N20001319","Black_Mountain_J2","N21000309","Black_Mountain_J"
"N09000003","Belfast","N20001321","Black_Mountain_J3","N21000309","Black_Mountain_J"
"N09000003","Belfast","N20001324","Black_Mountain_J5","N21000309","Black_Mountain_J"
"N09000003","Belfast","N20001322","Black_Mountain_J4","N21000309","Black_Mountain_J"
"N09000003","Belfast","N20001116","Botanic_G3","N21000257","Botanic_G"
"N09000003","Belfast","N20001316","Black_Mountain_E4","N21000305","Black_Mountain_E"
"N09000003","Belfast","N20001096","Botanic_E2","N21000255","Botanic_E"
"N09000003","Belfast","N20001106","Botanic_E4","N21000255","Botanic_E"
"N09000003","Belfast","N20001104","Botanic_G1","N21000257","Botanic_G"
"N09000003","Belfast","N20001111","Botanic_G2","N21000257","Botanic_G"
"N09000003","Belfast","N20001117","Botanic_G4","N21000257","Botanic_G"
"N09000003","Belfast","N20001126","Botanic_K3","N21000260","Botanic_K"
"N09000003","Belfast","N20001186","Balmoral_B2","N21000274","Balmoral_B"
"N09000003","Belfast","N20001129","Botanic_K4","N21000260","Botanic_K"
"N09000003","Belfast","N20001128","Botanic_U1","N21000268","Botanic_U"
"N09000003","Belfast","N20001434","Court_U3","N21000333","Court_U"
"N09000003","Belfast","N20001435","Court_X1","N21000335","Court_X"
"N09000003","Belfast","N20001428","Court_T1","N21000332","Court_T"
"N09000003","Belfast","N20001439","Court_X2","N21000335","Court_X"
"N09000003","Belfast","N20001427","Court_U2","N21000333","Court_U"
"N09000003","Belfast","N20001441","Court_X3","N21000335","Court_X"
"N09000003","Belfast","N20001303","Black_Mountain_B2","N21000302","Black_Mountain_B"
"N09000003","Belfast","N20001442","Court_T3","N21000332","Court_T"
"N09000003","Belfast","N20001419","Court_N3","N21000327","Court_N"
"N09000003","Belfast","N20001401","Court_J2","N21000324","Court_J"
"N09000003","Belfast","N20001422","Court_J4","N21000324","Court_J"
"N09000003","Belfast","N20001420","Court_N4","N21000327","Court_N"
"N09000003","Belfast","N20001413","Court_N2","N21000327","Court_N"
"N09000003","Belfast","N20001300","Black_Mountain_B1","N21000302","Black_Mountain_B"
"N09000003","Belfast","N20001301","Black_Mountain_A4","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001307","Black_Mountain_C1","N21000303","Black_Mountain_C"
"N09000003","Belfast","N20001308","Black_Mountain_D1","N21000304","Black_Mountain_D"
"N09000003","Belfast","N20001424","Court_R3","N21000330","Court_R"
"N09000003","Belfast","N20001297","Black_Mountain_A1","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001302","Black_Mountain_A5","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001299","Black_Mountain_A3","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001298","Black_Mountain_A2","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001306","Black_Mountain_A6","N21000301","Black_Mountain_A"
"N09000003","Belfast","N20001313","Black_Mountain_E2","N21000305","Black_Mountain_E"
"N09000003","Belfast","N20001310","Black_Mountain_E1","N21000305","Black_Mountain_E"
"N09000003","Belfast","N20001312","Black_Mountain_C3","N21000303","Black_Mountain_C"
