PC5,ACTIVE,X,Y,LGD2014,LGD2014NAME,WARD2014,WARD2014NAME,DEA2014,DEA2014NAME,AA2008,AA2008NAME,WARD1992,WARD1992NAME,LGD1992,LGD1992NAME,HSCT,HSCTNAME,DZ2021,DZ2021_name,SDZ2021,SDZ2021_name,AA2024,AA2024NAME,SA2011,SOA2001,SOA2001NAME,SOA2001_OLD,SOA2001NAME_OLD,COA2001,SETTLEMENT15,SETTLEMENT15_URBAN_RURAL
BT204XF,1,350761,380187,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003656,Bangor_Central_K3,N21000824,Bangor_Central_K,N05000013,North Down,N00004156,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050009,BANGOR,URBAN
BT204XG,1,350815,380246,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003654,Bangor_Central_H3,N21000822,Bangor_Central_H,N05000013,North Down,N00004156,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050009,BANGOR,URBAN
BT204XH,1,350834,380169,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003656,Bangor_Central_K3,N21000824,Bangor_Central_K,N05000013,North Down,N00004155,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050008,BANGOR,URBAN
BT204XJ,1,350732,380202,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003656,Bangor_Central_K3,N21000824,Bangor_Central_K,N05000013,North Down,N00004156,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050009,BANGOR,URBAN
BT204XL,1,351455,380592,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT204XN,1,350999,380400,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003654,Bangor_Central_H3,N21000822,Bangor_Central_H,N05000013,North Down,N00004155,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050008,BANGOR,URBAN
BT204XP,1,351331,381056,N09000011,Ards and North Down,N08001108,Broadway,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003644,Bangor_Central_F4,N21000820,Bangor_Central_F,N05000013,North Down,N00004150,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050003,BANGOR,URBAN
BT204XQ,1,350885,380210,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003656,Bangor_Central_K3,N21000824,Bangor_Central_K,N05000013,North Down,N00004155,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050008,BANGOR,URBAN
BT204XR,1,351036,380326,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003654,Bangor_Central_H3,N21000822,Bangor_Central_H,N05000013,North Down,N00004155,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050008,BANGOR,URBAN
BT204XS,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT204XT,1,351561,380616,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
